step	event_logits_event_logits_accuracy
0	0.8381966948509216
1	0.8680436015129089
2	0.8188865184783936
3	0.8716561794281006
4	0.8993312120437622
5	0.9074488282203674
6	0.901019275188446
7	0.9062983989715576
8	0.8916974663734436
9	0.8994817733764648
10	0.9013417959213257
11	0.9017719030380249
12	0.9045243263244629
13	0.896084189414978
14	0.9038684964179993
15	0.9086099863052368
16	0.9095991849899292
17	0.9193510413169861
18	0.9206519722938538
19	0.9166631102561951
20	0.9096529483795166
21	0.9108463525772095
22	0.9155879020690918
23	0.9224798083305359
24	0.7940607070922852
25	0.7375279664993286
26	0.7943832874298096
27	0.8741613626480103
28	0.9059005379676819
29	0.9119860529899597
30	0.9169211387634277
31	0.9055027365684509
32	0.9016321301460266
33	0.908061683177948
34	0.9034061431884766
35	0.9063628911972046
36	0.9098464846611023
37	0.9110398888587952
38	0.913706362247467
39	0.9127817153930664
40	0.9151793122291565
41	0.9146525263786316
42	0.9157814383506775
43	0.916480302810669
44	0.9178135395050049
45	0.9193402528762817
46	0.9195337891578674
47	0.9179533123970032
48	0.9196628332138062
49	0.9209423065185547
50	0.9213293194770813
51	0.9231249094009399
52	0.9237592220306396
53	0.9195337891578674
54	0.9226840734481812
55	0.9236087203025818
56	0.924877405166626
57	0.9249097108840942
58	0.9267590045928955
59	0.9279309511184692
60	0.9195983409881592
61	0.8948907852172852
62	0.8859345316886902
63	0.9056209921836853
64	0.9086960554122925
65	0.9172436594963074
66	0.9203079342842102
67	0.9243506193161011
68	0.9234796762466431
69	0.9185553789138794
70	0.9153406023979187
71	0.9222002625465393
72	0.9272965788841248
73	0.9276298880577087
74	0.9245548844337463
75	0.9278234243392944
76	0.9281244874000549
77	0.9162652492523193
