step	polyphony_degree_loss
0	3.799799919128418
1	1.7654073238372803
2	1.7765990495681763
3	1.6330265998840332
4	1.5499554872512817
5	1.482502818107605
6	1.554618239402771
7	1.4705467224121094
8	1.4487931728363037
9	1.4847787618637085
10	1.5106160640716553
11	1.3899750709533691
12	1.349636197090149
13	1.368471384048462
14	1.3024324178695679
15	1.2702981233596802
16	1.2507082223892212
17	1.2240229845046997
18	1.2139861583709717
19	1.1704552173614502
20	1.1248093843460083
21	1.1378026008605957
22	1.0836421251296997
23	1.0170875787734985
24	0.9903110265731812
25	0.9919678568840027
26	1.0035405158996582
27	0.9789437055587769
28	0.9104319214820862
29	0.8231918215751648
30	0.8219469785690308
31	0.7598394751548767
32	0.7370335459709167
33	0.715577244758606
34	0.7103536128997803
35	0.6843321919441223
36	0.862519383430481
37	1.0683890581130981
38	0.9032497406005859
39	0.8156468272209167
40	0.8184939622879028
41	0.7300934791564941
42	0.7254482507705688
43	0.7030118703842163
44	0.6464990973472595
45	0.6466274261474609
46	0.6512824892997742
47	0.6012468934059143
48	0.6178229451179504
49	0.5701912045478821
50	0.5863033533096313
51	0.5583744049072266
52	0.5893740653991699
53	0.5189480185508728
54	0.5365296006202698
55	0.5146070718765259
56	0.5212017297744751
57	0.5243098139762878
58	0.5150168538093567
59	0.47931045293807983
60	0.4700039029121399
61	0.5379931926727295
62	0.4494786858558655
63	0.505005955696106
64	0.47138655185699463
65	0.48927780985832214
66	0.4520207643508911
67	0.4475342929363251
68	0.4395405650138855
69	0.4252462387084961
70	0.4275454878807068
71	0.4344137907028198
72	0.43576520681381226
73	0.40113818645477295
74	0.39317700266838074
75	0.3702341914176941
76	0.42785486578941345
77	0.3497624397277832
78	0.4292902648448944
79	0.40256962180137634
80	0.37981122732162476
81	0.37011268734931946
82	0.3686322271823883
83	0.3612176775932312
84	0.3742203414440155
85	0.3994729220867157
86	0.41137057542800903
87	0.38908150792121887
88	0.34511664509773254
89	0.35273095965385437
90	0.36579638719558716
91	0.3825690448284149
92	0.37573644518852234
