step	loss
0	35.211875915527344
1	25.534423828125
2	37.10472106933594
3	34.52669143676758
4	31.67493438720703
5	27.610584259033203
6	28.236228942871094
7	25.933902740478516
8	27.795692443847656
9	31.97829246520996
10	19.704341888427734
11	18.335742950439453
12	17.030685424804688
13	16.449478149414062
14	16.2451114654541
15	16.24798011779785
16	16.046640396118164
17	15.829944610595703
18	15.774234771728516
19	15.287657737731934
20	5.2331037521362305
21	5.252833366394043
22	5.147661209106445
23	5.02528715133667
24	5.011349678039551
25	4.935292720794678
26	4.98065185546875
27	5.178350448608398
28	4.973138809204102
29	4.778247833251953
30	2.152784824371338
31	2.0589842796325684
32	2.041649580001831
33	1.9945687055587769
34	1.9974323511123657
35	1.963636040687561
36	2.5943171977996826
37	3.127105951309204
38	2.8809611797332764
39	2.750819683074951
40	1.3397159576416016
41	1.2398220300674438
42	1.2331056594848633
43	1.2023394107818604
44	1.138848900794983
45	1.1351842880249023
46	1.1430498361587524
47	1.0842467546463013
48	1.0946528911590576
49	1.0411170721054077
50	1.0462886095046997
51	1.0139726400375366
52	1.0426546335220337
53	0.966773509979248
54	0.9769411683082581
55	0.9508096575737
56	0.9688595533370972
57	0.9691445231437683
58	0.9528939127922058
59	0.9051847457885742
60	0.8868923783302307
61	0.9565231204032898
62	0.8582672476768494
63	0.9705391526222229
64	0.8981848955154419
65	0.9081578254699707
66	0.8652355670928955
67	0.8547292351722717
68	0.850303053855896
69	0.8278772830963135
70	0.8206827044487
71	0.8303024172782898
72	0.8361015319824219
73	0.7911173701286316
74	0.7770910859107971
75	0.7457724809646606
76	0.8062883615493774
77	0.7162219285964966
78	0.8092412948608398
79	0.817903995513916
80	0.7700109481811523
81	0.7443747520446777
82	0.733616828918457
83	0.7376501560211182
84	0.7459607720375061
85	0.7860743403434753
86	0.8321969509124756
87	0.7700068354606628
88	0.7216084003448486
89	0.7191368937492371
90	0.7718413472175598
91	0.8114560842514038
92	0.8064833879470825
