step	polyphony_degree_accuracy
0	0.2946843206882477
1	0.35024943947792053
2	0.3980732858181
3	0.4212971031665802
4	0.44830551743507385
5	0.46017545461654663
6	0.4674006402492523
7	0.49956992268562317
8	0.5184930562973022
9	0.5308790802955627
10	0.5226216912269592
11	0.5415447950363159
12	0.5389643907546997
13	0.5492860674858093
14	0.5645965933799744
15	0.5623602271080017
16	0.5573714375495911
17	0.5897127389907837
18	0.596937894821167
19	0.5759504437446594
20	0.591605007648468
21	0.5974540114402771
22	0.6100120544433594
23	0.5988302230834961
24	0.620333731174469
25	0.625666618347168
26	0.5945295095443726
27	0.6170651912689209
28	0.6236022710800171
29	0.6241183280944824
30	0.6308274269104004
31	0.6421813368797302
32	0.6282470226287842
33	0.6586960554122925
34	0.6600722670555115
35	0.6406330466270447
