step	event_logits_loss
0	25.031341552734375
1	20.70015525817871
2	32.02699279785156
3	29.796510696411133
4	27.174711227416992
5	23.282915115356445
6	23.77560043334961
7	21.68016242980957
8	23.56905746459961
9	27.578699111938477
10	12.485466003417969
11	11.653759002685547
12	10.550529479980469
13	10.030980110168457
14	10.06066608428955
15	10.15707778930664
16	10.050244331359863
17	9.977585792541504
18	9.806604385375977
19	9.555648803710938
20	1.8693822622299194
21	1.8883274793624878
22	1.8866498470306396
23	1.8755980730056763
24	1.8944615125656128
25	1.8507004976272583
26	1.8573306798934937
27	2.026344060897827
28	1.9739255905151367
29	1.9041224718093872
30	0.9270234704017639
31	0.9058610796928406
32	0.9025303721427917
33	0.8851353526115417
34	0.8860447406768799
35	0.8791543245315552
36	1.2359405755996704
37	1.527500033378601
38	1.4802093505859375
39	1.457203984260559
40	0.2820754647254944
41	0.2767341732978821
42	0.2734721601009369
43	0.2688816487789154
44	0.26380813121795654
45	0.2609453499317169
46	0.2551901936531067
47	0.25253826379776
48	0.24862949550151825
49	0.24879394471645355
50	0.23893965780735016
51	0.23099641501903534
52	0.23067139089107513
53	0.2276153564453125
54	0.22327901422977448
55	0.22259505093097687
56	0.22827984392642975
57	0.23169554769992828
58	0.2226870208978653
59	0.21156594157218933
60	0.20457422733306885
61	0.20390808582305908
62	0.1988324224948883
63	0.24713855981826782
64	0.21722286939620972
65	0.2091771364212036
66	0.20255506038665771
67	0.19986550509929657
68	0.20578621327877045
69	0.1963525265455246
70	0.18948683142662048
71	0.19330185651779175
72	0.19702395796775818
73	0.1895199418067932
74	0.1857128143310547
75	0.18375220894813538
76	0.18202224373817444
77	0.1752263307571411
78	0.18258240818977356
79	0.21903100609779358
80	0.1936473250389099
81	0.18235671520233154
82	0.17947345972061157
83	0.18802930414676666
84	0.1840432733297348
85	0.19398875534534454
86	0.22432897984981537
87	0.18981991708278656
88	0.18907088041305542
89	0.18430110812187195
90	0.21965144574642181
91	0.23989878594875336
92	0.2387481927871704
