step	polyphony_degree_polyphony_degree_accuracy
0	0.24686048924922943
1	0.30535006523132324
2	0.3120591640472412
3	0.3356270492076874
4	0.3550662398338318
5	0.3660760223865509
6	0.37484946846961975
7	0.37484946846961975
8	0.36796835064888
9	0.37880611419677734
10	0.37863409519195557
11	0.3822467029094696
12	0.38723549246788025
13	0.39566490054130554
14	0.4023739993572235
15	0.4004816710948944
16	0.4101152718067169
17	0.39635300636291504
18	0.4188886880874634
19	0.42869430780410767
20	0.42284533381462097
21	0.4276621341705322
22	0.43196284770965576
23	0.44108033180236816
24	0.42284533381462097
25	0.42559778690338135
26	0.4259418547153473
27	0.43660759925842285
28	0.439532071352005
29	0.4467572569847107
30	0.4582831561565399
31	0.4538104236125946
32	0.45948734879493713
33	0.46258386969566345
34	0.46447616815567017
35	0.46533632278442383
36	0.48597970604896545
37	0.48408737778663635
38	0.4923447370529175
39	0.5136762261390686
40	0.49647343158721924
41	0.521417498588562
42	0.5308790802955627
43	0.5209014415740967
44	0.5386203527450562
45	0.5491140484809875
46	0.5458455085754395
47	0.5511783957481384
48	0.542060911655426
49	0.5508343577384949
50	0.5561671853065491
51	0.564080536365509
52	0.5499742031097412
53	0.5553070902824402
54	0.5769826173782349
55	0.5847238898277283
56	0.5702735185623169
57	0.5785309076309204
58	0.5821434855461121
59	0.5730260014533997
60	0.578874945640564
61	0.5783588290214539
62	0.5886805653572083
63	0.574918270111084
64	0.5878204107284546
65	0.5917770266532898
66	0.6215379238128662
67	0.6120764017105103
68	0.6076036691665649
69	0.605023205280304
70	0.6113882660865784
71	0.6046791672706604
72	0.6127644777297974
73	0.6354722380638123
74	0.6160330176353455
75	0.5996903777122498
76	0.6131085753440857
77	0.6253225803375244
