step	framewise_polyphony_framewise_polyphony_accuracy
0	0.4295006990432739
1	0.5559091567993164
2	0.533061683177948
3	0.5608872175216675
4	0.5692306160926819
5	0.579982340335846
6	0.5720260739326477
7	0.5783373713493347
8	0.5868204832077026
9	0.5720152854919434
10	0.5805951952934265
11	0.600023627281189
12	0.6081734895706177
13	0.6092486381530762
14	0.6178285479545593
15	0.6235269904136658
16	0.622645378112793
17	0.6259568929672241
18	0.6240108609199524
19	0.6336981654167175
20	0.636708676815033
21	0.6389772891998291
22	0.6402245163917542
23	0.6455573439598083
24	0.6478474736213684
25	0.6492882370948792
26	0.6430414319038391
27	0.6409125924110413
28	0.6509870290756226
29	0.6525352597236633
30	0.6506322026252747
31	0.6574488282203674
32	0.654438316822052
33	0.6583304405212402
34	0.6564919352531433
35	0.6542340517044067
36	0.6009483337402344
37	0.5916695594787598
38	0.6082810163497925
39	0.6174629926681519
40	0.6177533268928528
41	0.6231184601783752
42	0.6210756301879883
43	0.6247527003288269
44	0.6287631392478943
45	0.6294189691543579
46	0.6232796907424927
47	0.6269030570983887
48	0.6295049786567688
49	0.6348271369934082
50	0.6344078183174133
51	0.633063793182373
52	0.6354507207870483
53	0.6357302665710449
54	0.6410201191902161
55	0.6431812047958374
56	0.634730339050293
57	0.6405900716781616
58	0.6403535008430481
59	0.6415362358093262
60	0.6449982523918152
61	0.6398374438285828
62	0.6459121704101562
63	0.6352356672286987
64	0.6452563405036926
65	0.6460519433021545
66	0.6449122428894043
67	0.649707555770874
68	0.6529116034507751
69	0.6499548554420471
70	0.6523632407188416
71	0.6503849029541016
72	0.6506859660148621
73	0.6530298590660095
74	0.656018853187561
75	0.6642439365386963
76	0.6581584215164185
77	0.6621580719947815
78	0.6559435725212097
79	0.6552339792251587
80	0.6567822098731995
81	0.6589218378067017
82	0.6674479842185974
83	0.6665447950363159
84	0.6644482016563416
85	0.6623516082763672
86	0.6520299315452576
87	0.6622548699378967
88	0.6615882515907288
89	0.6712433099746704
90	0.6671576499938965
91	0.6630935072898865
92	0.6604485511779785
