step	framewise_polyphony_loss
0	6.348065376281738
1	3.070068597793579
2	3.3086225986480713
3	3.081156015396118
4	2.9390532970428467
5	2.8470160961151123
6	2.9132328033447266
7	2.7985525131225586
8	2.783550977706909
9	2.9183309078216553
10	5.701549530029297
11	5.289153575897217
12	5.120569229125977
13	5.0495123863220215
14	4.881553649902344
15	4.816296577453613
16	4.745856761932373
17	4.626774787902832
18	4.749981880187988
19	4.559622764587402
20	2.235110282897949
21	2.2263121604919434
22	2.176629066467285
23	2.1322546005249023
24	2.124868869781494
25	2.092236042022705
26	2.123004198074341
27	2.173403739929199
28	2.0852272510528564
29	2.0510928630828857
30	0.4034883975982666
31	0.39589107036590576
32	0.4015953540802002
33	0.3948298990726471
34	0.40143200755119324
35	0.3998170793056488
36	0.4969257712364197
37	0.5327259302139282
38	0.4965111315250397
39	0.47901651263237
40	0.2392299771308899
41	0.23302897810935974
42	0.23477678000926971
43	0.22996392846107483
44	0.22890442609786987
45	0.2277202010154724
46	0.23651526868343353
47	0.22987040877342224
48	0.22798560559749603
49	0.22165536880493164
50	0.22276435792446136
51	0.22423367202281952
52	0.22300906479358673
53	0.21980930864810944
54	0.21740666031837463
55	0.21298106014728546
56	0.21891604363918304
57	0.21377910673618317
58	0.21521419286727905
59	0.2144707888364792
60	0.21203702688217163
61	0.21533653140068054
62	0.2095714658498764
63	0.21861916780471802
64	0.20976626873016357
65	0.20954574644565582
66	0.21012943983078003
67	0.20710013806819916
68	0.20465607941150665
69	0.20665380358695984
70	0.20377372205257416
71	0.20308640599250793
72	0.20347240567207336
73	0.2002994418144226
74	0.1994040310382843
75	0.1916174441576004
76	0.19638226926326752
77	0.1910252571105957
78	0.19847111403942108
79	0.19642427563667297
80	0.19645681977272034
81	0.19295547902584076
82	0.18699754774570465
83	0.18916556239128113
84	0.18735449016094208
85	0.1925029307603836
86	0.19632305204868317
87	0.19179826974868774
88	0.18853837251663208
89	0.18175309896469116
90	0.1866387128829956
91	0.18892498314380646
92	0.19173607230186462
